City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,city_wind,Current Description
231,Chulym,RU,2022-06-08 19:32:51,55.0997,80.9572,50.02,68,100,11.68,overcast clouds
232,Malvern,US,2022-06-08 19:32:52,34.3623,-92.813,71.11,64,94,6.53,heavy intensity rain
233,Maiduguri,NG,2022-06-08 19:32:52,11.8464,13.1603,93.56,14,5,7.14,clear sky
234,Jumla,NP,2022-06-08 19:32:53,29.2747,82.1838,58.01,85,12,2.48,few clouds
235,Severo-Kurilsk,RU,2022-06-08 19:32:53,50.6789,156.125,43.43,79,100,6.76,overcast clouds
236,Sao Joao Da Barra,BR,2022-06-08 19:32:54,-21.6403,-41.0511,84.29,74,76,7.29,broken clouds
237,Imeni Zhelyabova,RU,2022-06-08 19:32:55,58.9544,36.5956,52.54,67,88,4.81,overcast clouds
238,Saint-Joseph,RE,2022-06-08 19:32:56,-21.3667,55.6167,68.38,83,85,11.25,light rain
239,Camabatela,AO,2022-06-08 19:32:56,-8.1881,15.375,62.04,49,21,3.2,few clouds
240,Cochrane,CA,2022-06-08 19:32:57,51.1834,-114.4687,70.54,42,0,12.66,clear sky
241,Hit,IQ,2022-06-08 19:32:57,33.6416,42.8251,91.9,15,0,4.76,clear sky
242,Jalu,LY,2022-06-08 19:32:58,29.0331,21.5482,86.45,28,0,14.16,clear sky
243,Santa Cruz,BO,2022-06-08 19:32:58,-17.8,-63.1667,80.65,61,75,17.27,broken clouds
244,Yerbogachen,RU,2022-06-08 19:32:59,61.2767,108.0108,43.45,77,94,3.87,overcast clouds
245,Teguldet,RU,2022-06-08 19:32:59,57.3064,88.1667,37.69,92,6,2.53,clear sky
246,Glinka,RU,2022-06-08 19:33:00,54.6404,32.8781,61.12,85,100,4.56,overcast clouds
247,Aykhal,RU,2022-06-08 19:33:00,66.0,111.5,48.43,62,11,4.97,few clouds
248,Lagoa,PT,2022-06-08 19:33:00,39.05,-27.9833,64.89,88,11,22.79,few clouds
249,George,ZA,2022-06-08 19:31:18,-33.963,22.4617,62.15,48,1,17.27,clear sky
250,Havre,FR,2022-06-08 19:33:01,49.5833,0.3333,61.2,82,100,16.11,overcast clouds
251,Mount Gambier,AU,2022-06-08 19:33:03,-37.8333,140.7667,48.11,93,75,10.36,broken clouds
252,Saiha,IN,2022-06-08 19:33:03,22.4833,92.9667,70.84,99,100,1.48,overcast clouds
253,Touros,BR,2022-06-08 19:32:41,-5.1989,-35.4608,79.36,80,8,10.0,clear sky
254,Haimen,CN,2022-06-08 19:33:04,23.1935,116.6142,73.29,94,100,14.25,light rain
255,Whitehorse,CA,2022-06-08 19:33:04,60.7161,-135.0538,67.1,36,20,6.91,few clouds
256,Tobane,BW,2022-06-08 19:33:05,-21.95,27.9,51.94,47,0,5.46,clear sky
257,Iskateley,RU,2022-06-08 19:33:05,67.6803,53.1512,52.45,61,81,8.48,broken clouds
258,Inirida,CO,2022-06-08 19:33:06,3.8653,-67.9239,77.95,82,100,2.1,overcast clouds
259,Provideniya,RU,2022-06-08 19:33:06,64.3833,-173.3,46.4,52,16,2.15,few clouds
260,Palmer,US,2022-06-08 19:33:07,42.1584,-72.3287,79.92,46,20,10.36,few clouds
